Date_Time,ACTIVE_POWER,APPARENT_POWER,AVERAGE_VOLTAGE,B_PHASE_CURRENT_THD,B_PHASE_LINE_CURRENT,B_PHASE_VOLTAGE_THD,BR_VOLTAGE,FREQUENCY,NEUTRAL_LINE_CURRENT,POWER_FACTOR,R_PHASE_CURRENT_THD,R_PHASE_LINE_CURRENT,R_PHASE_VOLTAGE_THD,REACTIVE_POWER,RY_VOLTAGE,TOTAL_EXPORT_KVAh,TOTAL_EXPORT_KVArh,TOTAL_EXPORT_KWh,TOTAL_IMPORT_KVAh,TOTAL_IMPORT_KVArh,TOTAL_IMPORT_KWh,Y_PHASE_CURRENT_THD,Y_PHASE_LINE_CURRENT,Y_PHASE_VOLTAGE_THD,YB_VOLTAGE
Wed Jan 15 2025 05:30:40 GMT+0530 (India Standard Time),-16.530000686645508,49.380001068115234,11137.431640625,0,2.149399995803833,0.5799999833106995,10725.7392578125,50.04399871826172,0.05909999832510948,0.33399999141693115,0,3.361299991607666,2.869999885559082,-34.81999969482422,11145.2607421875,87538.4765625,504864.75,30825.818359375,8207986,3004.2978515625,8194172.5,0,2.488100051879883,0.8399999737739563,10725.7392578125
Wed Jan 15 2025 05:31:40 GMT+0530 (India Standard Time),-16.5,49.47999954223633,11137.2373046875,0,2.156599998474121,0.5699999928474426,10724.3427734375,49.999000549316406,0.08240000158548355,0.3330000042915344,0,3.3682000637054443,2.9200000762939453,-35.349998474121094,11145.2646484375,87539.28125,504865.53125,30826.08984375,8207986,3004.2978515625,8194172.5,0,2.501800060272217,0.6299999952316284,10724.3427734375
Wed Jan 15 2025 05:36:40 GMT+0530 (India Standard Time),-16.440000534057617,49.279998779296875,11100.916015625,0,2.161600112915039,0.5099999904632568,10699.5654296875,49.902000427246094,0.0803999975323677,0.3330000042915344,0,3.3680999279022217,2.869999885559082,-34.689998626708984,11114.23046875,87543.421875,504869.375,30827.46484375,8207986,3004.2978515625,8194172.5,0,2.4783999919891357,0.5799999833106995,10699.5654296875
Wed Jan 15 2025 05:37:40 GMT+0530 (India Standard Time),-16.260000228881836,49.16999816894531,11101.23828125,0,2.153599977493286,0.5,10696.62109375,49.90599822998047,0.09080000221729279,0.33000001311302185,0,3.3710999488830566,2.859999895095825,-34.630001068115234,11114.9951171875,87544.21875,504870.15625,30827.73828125,8207986,3004.2978515625,8194172.5,0,2.4674999713897705,0.5699999928474426,10696.62109375
Wed Jan 15 2025 05:40:39 GMT+0530 (India Standard Time),-16.40999984741211,49.09000015258789,11105.611328125,0,2.164299964904785,0.49000000953674316,10701.9765625,49.930999755859375,0.11420000344514847,0.33399999141693115,0,3.3543999195098877,2.8299999237060547,-34.65999984741211,11091.4697265625,87546.7109375,504872.5,30828.5546875,8207986,3004.2978515625,8194172.5,0,2.4707999229431152,0.6100000143051147,10701.9765625
Wed Jan 15 2025 05:46:39 GMT+0530 (India Standard Time),-16.360000610351562,49.380001068115234,11113.0654296875,0,2.1570000648498535,0.41999998688697815,10712.1240234375,49.930999755859375,0.06379999965429306,0.3310000002384186,0,3.387200117111206,2.819999933242798,-34.970001220703125,11114.3369140625,87551.625,504877.15625,30830.203125,8207986,3004.2978515625,8194172.5,0,2.4793999195098877,0.4300000071525574,10712.1240234375
Wed Jan 15 2025 05:50:40 GMT+0530 (India Standard Time),-16.3799991607666,49.40999984741211,11125.1123046875,0,2.1505000591278076,0.46000000834465027,10723.970703125,49.99300003051758,0.09059999883174896,0.3310000002384186,0,3.3838999271392822,2.809999942779541,-34.9900016784668,11140.3720703125,87554.890625,504880.21875,30831.287109375,8207986,3004.2978515625,8194172.5,0,2.4711999893188477,0.550000011920929,10723.970703125
Wed Jan 15 2025 05:56:40 GMT+0530 (India Standard Time),-16.5,49.90999984741211,11138.09765625,0,2.1910998821258545,0.47999998927116394,10729.9150390625,49.95500183105469,0.1573999971151352,0.33000001311302185,0,3.414400100708008,2.8399999141693115,-35.34000015258789,11111.5908203125,87559.875,504884.90625,30832.943359375,8207986,3004.2978515625,8194172.5,0,2.5006000995635986,0.6200000047683716,10729.9150390625
Wed Jan 15 2025 05:57:39 GMT+0530 (India Standard Time),-16.309999465942383,49.959999084472656,11140.68359375,0,2.191499948501587,0.5299999713897705,10732.197265625,49.95000076293945,0.1518000066280365,0.32600000500679016,0,3.4098000526428223,2.880000114440918,-35.40999984741211,11090.0771484375,87560.71875,504885.75,30833.21484375,8207986,3004.2978515625,8194172.5,0,2.520900011062622,0.7599999904632568,10732.197265625
Wed Jan 15 2025 05:38:40 GMT+0530 (India Standard Time),-16.56999969482422,48.91999816894531,11100.49609375,0,2.1426000595092773,0.49000000953674316,10693.1904296875,49.92599868774414,0.06459999829530716,0.33799999952316284,0,3.3327999114990234,2.890000104904175,-34.68000030517578,11113.896484375,87545.03125,504870.9375,30828.01171875,8207986,3004.2978515625,8194172.5,0,2.469599962234497,0.5600000023841858,10693.1904296875
