Date_Time,POA1_IRR,ACTIVE_POWER
2025-01-10 01:51:42,-1,-15.640000343322754
2025-01-10 01:52:41,-1,-15.579999923706055
2025-01-10 01:53:42,-1,-15.609999656677246
2025-01-10 01:54:41,-1,-15.640000343322754
2025-01-10 01:55:41,-1,-15.510000228881836
2025-01-10 01:56:41,-1,-15.539999961853027
2025-01-10 01:57:40,-1,-15.529999732971191
2025-01-10 01:58:42,-1,-15.430000305175781
2025-01-10 01:59:41,-1,-15.65999984741211
2025-01-10 02:00:39,-1,-15.520000457763672
2025-01-10 02:01:42,-1,-15.779999732971191
2025-01-10 02:02:41,-1,-15.550000190734863
2025-01-10 02:03:41,-1,-15.800000190734863
2025-01-10 02:04:40,-1,-15.789999961853027
2025-01-10 02:05:41,-1,-15.390000343322754
2025-01-10 02:06:41,-1,-15.670000076293945
2025-01-10 02:07:40,-1,-15.600000381469727
2025-01-10 02:08:42,-1,-15.619999885559082
2025-01-10 02:09:41,-1,-15.479999542236328
2025-01-10 02:10:41,-1,-15.760000228881836
2025-01-10 02:11:40,-1,-15.460000038146973
2025-01-10 02:12:41,-1,-15.539999961853027
2025-01-10 02:13:41,-1,-15.460000038146973
2025-01-10 02:14:40,-1,-15.619999885559082
2025-01-10 02:15:41,-1,-15.520000457763672
2025-01-10 02:16:41,-1,-15.8100004196167
2025-01-10 02:17:41,-1,-15.600000381469727
2025-01-10 02:18:41,-1,-15.649999618530273
2025-01-10 02:19:41,-1,-15.6899995803833
2025-01-10 02:20:41,-1,-15.609999656677246
2025-01-10 02:21:41,-1,-15.720000267028809
2025-01-10 02:22:41,-1,-15.640000343322754
2025-01-10 02:23:40,-1,-15.430000305175781
2025-01-10 02:24:41,-1,-15.779999732971191
2025-01-10 02:25:40,-1,-15.5600004196167
2025-01-10 02:26:41,-1,-15.529999732971191
2025-01-10 02:27:42,-1,-15.8100004196167
2025-01-10 02:28:40,-1,-15.5
2025-01-10 02:29:41,-1,-15.770000457763672
2025-01-10 02:30:40,-1,-15.890000343322754
2025-01-10 02:31:41,-1,-15.6899995803833
2025-01-10 02:32:41,-1,-15.479999542236328
2025-01-10 02:33:40,-1,-15.449999809265137
2025-01-10 02:34:42,-1,-15.65999984741211
2025-01-10 02:35:41,-1,-15.760000228881836
2025-01-10 02:36:40,-2,-15.59000015258789
2025-01-10 02:37:40,-2,-15.6899995803833
2025-01-10 02:38:41,-2,-15.619999885559082
2025-01-10 02:39:41,-1,-15.75
2025-01-10 02:40:40,-1,-15.800000190734863
2025-01-10 02:41:41,-1,-15.579999923706055
2025-01-10 02:42:41,-1,-15.6899995803833
2025-01-10 02:43:40,-1,-15.5
2025-01-10 02:44:41,-2,-15.5
2025-01-10 02:45:41,-2,-15.720000267028809
2025-01-10 02:46:41,-2,-15.699999809265137
2025-01-10 02:47:40,-1,-15.619999885559082
2025-01-10 02:48:41,-2,-15.65999984741211
2025-01-10 02:49:41,-1,-15.550000190734863
2025-01-10 02:50:40,-2,-15.729999542236328
2025-01-10 02:51:42,-2,-15.59000015258789
2025-01-10 02:52:41,-2,-15.800000190734863
2025-01-10 02:53:40,-2,-15.529999732971191
2025-01-10 02:54:41,-2,-15.4399995803833
2025-01-10 02:55:41,-2,-15.670000076293945
2025-01-10 02:56:41,-1,-15.5
2025-01-10 02:57:41,-1,-15.550000190734863
2025-01-10 02:58:41,-1,-15.739999771118164
2025-01-10 02:59:41,-1,-15.670000076293945
2025-01-10 03:00:40,-1,-15.680000305175781
2025-01-10 03:01:41,-1,-15.649999618530273
2025-01-10 03:02:41,-1,-15.59000015258789
2025-01-10 03:03:41,-1,-15.65999984741211
2025-01-10 03:04:41,-1,-15.520000457763672
2025-01-10 03:05:41,-1,-15.739999771118164
2025-01-10 03:06:41,-1,-15.84000015258789
2025-01-10 03:07:40,-1,-15.739999771118164
2025-01-10 03:08:40,-1,-15.699999809265137
2025-01-10 03:09:41,-1,-15.760000228881836
2025-01-10 03:10:41,-1,-15.550000190734863
2025-01-10 03:11:41,-1,-15.770000457763672
2025-01-10 03:12:41,-1,-15.460000038146973
2025-01-10 03:13:40,-1,-15.520000457763672
2025-01-10 03:14:41,-1,-15.710000038146973
2025-01-10 03:15:41,-1,-15.34000015258789
2025-01-10 03:16:40,-1,-15.520000457763672
2025-01-10 03:17:41,-1,-15.550000190734863
2025-01-10 03:18:40,-1,-15.5
2025-01-10 03:19:41,-1,-15.34000015258789
2025-01-10 03:20:41,-1,-15.710000038146973
2025-01-10 03:21:40,-1,-15.520000457763672
2025-01-10 03:22:41,-1,-15.539999961853027
2025-01-10 03:23:40,-1,-15.600000381469727
2025-01-10 03:24:41,-1,-15.489999771118164
2025-01-10 03:25:41,-1,-15.760000228881836
2025-01-10 03:26:41,-1,-15.539999961853027
2025-01-10 03:27:41,-1,-15.640000343322754
2025-01-10 03:28:40,-1,-15.670000076293945
2025-01-10 03:29:42,-1,-15.550000190734863
2025-01-10 03:30:41,-1,-15.489999771118164
2025-01-10 03:31:39,-1,-15.529999732971191
2025-01-10 03:32:42,-1,-15.779999732971191
2025-01-10 03:33:40,-1,-15.609999656677246
2025-01-10 03:34:41,-1,-15.569999694824219
2025-01-10 03:35:40,-1,-15.670000076293945
2025-01-10 03:36:42,-1,-15.640000343322754
2025-01-10 03:37:41,-1,-15.489999771118164
2025-01-10 03:38:40,-1,-15.350000381469727
2025-01-10 03:39:41,-1,-15.600000381469727
2025-01-10 03:40:40,-1,-15.460000038146973
2025-01-10 03:41:41,-1,-15.460000038146973
2025-01-10 03:42:41,-1,-15.720000267028809
2025-01-10 03:43:40,-1,-15.670000076293945
2025-01-10 03:44:40,-1,-15.520000457763672
2025-01-10 03:45:41,-1,-15.539999961853027
2025-01-10 03:46:42,-1,-15.619999885559082
2025-01-10 03:47:40,-1,-15.470000267028809
2025-01-10 03:48:41,-1,-15.449999809265137
2025-01-10 03:49:41,-1,-15.619999885559082
2025-01-10 03:50:41,-1,-15.430000305175781
2025-01-10 03:51:42,-1,-15.800000190734863
2025-01-10 03:52:40,-1,-15.6899995803833
2025-01-10 03:53:41,-1,-15.520000457763672
2025-01-10 03:54:41,-1,-15.390000343322754
2025-01-10 03:55:40,-1,-15.479999542236328
2025-01-10 03:56:41,-1,-15.739999771118164
2025-01-10 03:57:41,-1,-15.600000381469727
2025-01-10 03:58:40,-1,-15.479999542236328
2025-01-10 03:59:41,-1,-15.819999694824219
2025-01-10 04:00:41,-1,-15.550000190734863
2025-01-10 04:01:39,-1,-15.539999961853027
2025-01-10 04:02:41,-1,-15.470000267028809
2025-01-10 04:03:41,-1,-15.510000228881836
2025-01-10 04:04:41,-1,-15.529999732971191
2025-01-10 04:05:40,-1,-15.4399995803833
2025-01-10 04:06:40,-1,-15.449999809265137
2025-01-10 04:07:41,-1,-15.359999656677246
2025-01-10 04:08:39,-1,-15.539999961853027
2025-01-10 04:09:41,-1,-15.289999961853027
2025-01-10 04:10:41,-1,-15.359999656677246
2025-01-10 04:11:41,-1,-15.430000305175781
2025-01-10 04:12:42,-1,-15.270000457763672
2025-01-10 04:13:41,-1,-15.300000190734863
2025-01-10 04:14:41,-1,-15.380000114440918
2025-01-10 04:15:38,-1,-15.329999923706055
2025-01-10 04:16:41,-1,-15.380000114440918
2025-01-10 04:17:41,-1,-15.300000190734863
2025-01-10 04:18:40,-1,-15.270000457763672
2025-01-10 04:19:41,-1,-15.329999923706055
2025-01-10 04:20:40,-1,-15.300000190734863
2025-01-10 04:21:41,-1,-15.289999961853027
2025-01-10 04:22:41,-1,-15.720000267028809
2025-01-10 04:23:41,-1,-15.350000381469727
2025-01-10 04:24:41,-1,-15.369999885559082
2025-01-10 04:25:41,-1,-15.489999771118164
2025-01-10 04:26:41,-1,-15.239999771118164
2025-01-10 04:27:40,-1,-15.489999771118164
2025-01-10 04:28:40,-1,-15.380000114440918
2025-01-10 04:29:40,-1,-15.489999771118164
