Date_Time,Active_Power
2025-01-20 02:44:41,0,0
2025-01-20 02:45:42,0,0
2025-01-20 02:46:41,0,0
2025-01-20 02:47:42,0,0
2025-01-20 02:48:42,0,0
2025-01-20 02:49:42,0,0
2025-01-20 02:50:42,0,0
2025-01-20 02:51:42,0,0
2025-01-20 02:52:42,0,0
2025-01-20 02:53:41,0,0
2025-01-20 02:54:42,0,0
2025-01-20 02:55:42,0,0
2025-01-20 02:56:41,0,0
2025-01-20 02:57:42,0,0
2025-01-20 02:58:41,0,0
2025-01-20 02:59:42,0,0
2025-01-20 03:00:42,0,0
2025-01-20 03:01:41,0,0
2025-01-20 03:02:42,0,0
2025-01-20 03:03:42,0,0
2025-01-20 03:04:42,0,0
2025-01-20 03:05:42,0,0
2025-01-20 03:06:41,0,0
2025-01-20 03:07:41,0,0
2025-01-20 03:08:43,0,0
2025-01-20 03:09:41,0,0
2025-01-20 03:10:41,0,0
2025-01-20 03:11:42,0,0
2025-01-20 03:12:42,0,0
2025-01-20 03:13:41,0,0
2025-01-20 03:14:42,0,0
2025-01-20 03:15:41,0,0
2025-01-20 03:16:43,0,0
2025-01-20 03:17:41,0,0
2025-01-20 03:18:42,0,0
2025-01-20 03:19:43,0,0
2025-01-20 03:20:41,0,0
2025-01-20 03:21:41,0,0
2025-01-20 03:22:42,0,0
2025-01-20 03:23:42,0,0
2025-01-20 03:24:41,0,0
2025-01-20 03:25:42,0,0
2025-01-20 03:26:42,0,0
2025-01-20 03:27:42,0,0
2025-01-20 03:28:43,0,0
2025-01-20 03:29:44,0,0
2025-01-20 03:30:43,0,0
2025-01-20 03:31:42,0,0
2025-01-20 03:32:43,0,0
2025-01-20 03:33:43,0,0
2025-01-20 03:34:43,0,0
2025-01-20 03:35:44,0,0
2025-01-20 03:36:43,0,0
2025-01-20 03:37:43,0,0
2025-01-20 03:38:43,0,0
2025-01-20 03:39:43,0,0
2025-01-20 03:40:42,0,0
2025-01-20 03:41:43,0,0
2025-01-20 03:42:42,0,0
2025-01-20 03:43:43,0,0
2025-01-20 03:44:43,0,0
2025-01-20 03:45:42,0,0
2025-01-20 03:46:43,0,0
2025-01-20 03:47:44,0,0
2025-01-20 03:48:43,0,0
2025-01-20 03:49:43,0,0
2025-01-20 03:50:44,0,0
2025-01-20 03:51:42,0,0
2025-01-20 03:52:43,0,0
2025-01-20 03:53:43,0,0
2025-01-20 03:54:44,0,0
2025-01-20 03:55:43,0,0
2025-01-20 03:56:44,0,0
2025-01-20 03:57:44,0,0
2025-01-20 03:58:43,0,0
2025-01-20 03:59:43,0,0
2025-01-20 04:00:44,0,0
2025-01-20 04:01:43,0,0
2025-01-20 04:02:42,0,0
2025-01-20 04:03:44,0,0
2025-01-20 04:04:44,0,0
2025-01-20 04:05:43,0,0
2025-01-20 04:06:43,0,0
2025-01-20 04:07:43,0,0
2025-01-20 04:08:42,0,0
2025-01-20 04:09:43,0,0
2025-01-20 04:10:43,0,0
2025-01-20 04:11:43,0,0
2025-01-20 04:12:43,0,0
2025-01-20 04:13:43,0,0
2025-01-20 04:14:43,0,0
2025-01-20 04:15:44,0,0
2025-01-20 04:16:43,0,0
2025-01-20 04:17:43,0,0
2025-01-20 04:18:43,0,0
2025-01-20 04:19:43,0,0
2025-01-20 04:20:44,0,0
2025-01-20 04:21:42,0,0
2025-01-20 04:22:43,0,0
2025-01-20 04:23:44,0,0
2025-01-20 04:24:42,0,0
2025-01-20 04:25:44,0,0
2025-01-20 04:26:44,0,0
2025-01-20 04:27:43,0,0
2025-01-20 04:28:43,0,0
2025-01-20 04:29:43,0,0
2025-01-20 04:30:43,0,0
2025-01-20 04:31:44,0,0
2025-01-20 04:32:43,0,0
2025-01-20 04:33:43,0,0
2025-01-20 04:34:43,0,0
2025-01-20 04:35:44,0,0
2025-01-20 04:36:43,0,0
2025-01-20 04:37:44,0,0
2025-01-20 04:38:43,0,0
2025-01-20 04:39:44,0,0
2025-01-20 04:40:42,0,0
2025-01-20 04:41:43,0,0
2025-01-20 04:42:43,0,0
2025-01-20 04:43:44,0,0
2025-01-20 04:44:43,0,0
2025-01-20 04:45:43,0,0
2025-01-20 04:46:42,0,0
2025-01-20 04:47:44,0,0
2025-01-20 04:48:43,0,0
2025-01-20 04:49:43,0,0
2025-01-20 04:50:43,0,0
2025-01-20 04:51:44,0,0
2025-01-20 04:52:43,0,0
2025-01-20 04:53:43,0,0
2025-01-20 04:54:42,0,0
2025-01-20 04:55:44,0,0
2025-01-20 04:56:43,0,0
2025-01-20 04:57:42,0,0
2025-01-20 04:58:43,0,0
2025-01-20 04:59:44,0,0
2025-01-20 05:00:43,0,0
2025-01-20 05:01:43,0,0
2025-01-20 05:02:43,0,0
2025-01-20 05:03:44,0,0
2025-01-20 05:04:43,0,0
2025-01-20 05:05:43,0,0
2025-01-20 05:06:43,0,0
2025-01-20 05:07:43,0,0
2025-01-20 05:08:43,0,0
2025-01-20 05:09:43,0,0
2025-01-20 05:10:43,0,0
2025-01-20 05:11:43,0,0
2025-01-20 05:12:43,0,0
2025-01-20 05:13:43,0,0
2025-01-20 05:14:43,0,0
2025-01-20 05:15:43,0,0
2025-01-20 05:16:43,0,0
2025-01-20 05:17:44,0,0
2025-01-20 05:18:42,0,0
2025-01-20 05:19:43,0,0
2025-01-20 05:20:43,0,0
2025-01-20 05:21:43,0,0
2025-01-20 05:22:43,0,0
2025-01-20 05:23:42,0,0
2025-01-20 05:24:44,0,0
2025-01-20 05:25:43,0,0
2025-01-20 05:26:42,0,0
2025-01-20 05:27:44,0,0
2025-01-20 05:28:44,0,0
2025-01-20 05:29:42,0,0
2025-01-20 05:30:43,0,0
2025-01-20 05:31:44,0,0
2025-01-20 05:32:43,0,0
2025-01-20 05:33:43,0,0
2025-01-20 05:34:42,0,0
2025-01-20 05:35:43,0,0
2025-01-20 05:36:44,0,0
2025-01-20 05:37:42,0,0
2025-01-20 05:38:43,0,0
2025-01-20 05:39:44,0,0
